channelName,subscribers,views,totalVideos,playlistId,country,foundingdate
How to Rip,141000,17722770,209,UUuZSTHZf3vd7eVehhnotcsg,nothing,2014-12
Nathan Florence,427000,183617743,478,UU6uX6GF5q2JxLjMkyivM2Og,US,2013-10
Nic Von Rupp,349000,10414827,375,UUnDcnuhRMNxsI14ZnwIh6fQ,PT,2018-01
Barefoot Surf,195000,21716221,150,UUvOh9i-BOFzu51rpj33fGag,nothing,2012-12
Kai Lenny,141000,40403333,184,UUmzxts0YGES5tN-oJ9abTQg,US,2010-02
Surf Strength Coach,59300,4748696,284,UUCNZ9zfcszWw_LErqxhuT3g,US,2010-09
Ombe Surf,36500,4632575,526,UUe_ZLwzh-73vuzoZesJJgkw,AU,2016-07
Rip Curl,147000,50583492,2381,UUM7nkBGadxKOa4DAJVFwoWg,nothing,2005-10
Surfline,253000,115020633,2820,UU4i3-yfVazfuqwoz71T79Sw,US,2006-06
Red Bull Surfing,289000,132912602,970,UU--3c8RqSfAqYBdDjIG3UNA,AT,2019-02
Kale Brock,204000,31626184,447,UULdPicN16eAKPKir8EY1UXQ,nothing,2012-07
